Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,ConsumeTasksSynchronously,InvocationCount,IterationCount,IterationTime,JitTieringMode,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Gen0,Gen1,Allocated
MSBuildCacheBackedCold,ShortRun,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,InProcessEmitToolchain,Default,False,Default,3,Default,Default,1,Default,Default,Default,Default,Default,Default,16,3,"11,349.422 μs","1,591.917 μs",87.2584 μs,54.6875,31.2500,1043.46 KB
MSBuildCacheBackedWarm,ShortRun,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,InProcessEmitToolchain,Default,False,Default,3,Default,Default,1,Default,Default,Default,Default,Default,Default,16,3,1.115 μs,1.691 μs,0.0927 μs,0.3357,0.0019,6.19 KB
MsBuildEnumerator,ShortRun,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,InProcessEmitToolchain,Default,False,Default,3,Default,Default,1,Default,Default,Default,Default,Default,Default,16,3,"7,938.520 μs","4,424.223 μs",242.5066 μs,7.8125,0.0000,166.23 KB
