"Pair","Position","Arm","Workload","DegreeOfParallelism","ElapsedTicks","ElapsedMs","AllocatedBytes","Checksum","Nodes","Edges","TopologyLength","TopologySha256","SourceFile"
"1",,"C6","ProjectGraph","32","18784836","1878.4836","1022947240","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-C6.json"
"1",,"T0","ProjectGraph","32","19135169","1913.5169","1027133936","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-01-T0.json"
"2",,"C6","ProjectGraph","32","18987836","1898.7836","1021177096","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-C6.json"
"2",,"T0","ProjectGraph","32","18764430","1876.443","1025819720","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-02-T0.json"
"3",,"C6","ProjectGraph","32","19152043","1915.2043","1024044304","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-C6.json"
"3",,"T0","ProjectGraph","32","19725597","1972.5597","1030175288","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-03-T0.json"
"4",,"C6","ProjectGraph","32","20091047","2009.1047","1022112288","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-C6.json"
"4",,"T0","ProjectGraph","32","18673781","1867.3781","1015025344","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-04-T0.json"
"5",,"C6","ProjectGraph","32","18719561","1871.9561","1022717976","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-C6.json"
"5",,"T0","ProjectGraph","32","19609084","1960.9084","1026417600","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-05-T0.json"
"6",,"C6","ProjectGraph","32","18690589","1869.0589","1022476960","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-C6.json"
"6",,"T0","ProjectGraph","32","21478269","2147.8269","1027785624","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-06-T0.json"
"7",,"C6","ProjectGraph","32","20003876","2000.3876","1024520992","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-C6.json"
"7",,"T0","ProjectGraph","32","19316357","1931.6357","1025761104","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-07-T0.json"
"8",,"C6","ProjectGraph","32","19556158","1955.6158","1022921120","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-C6.json"
"8",,"T0","ProjectGraph","32","19502270","1950.227","1029027328","79377880","469","10688","35702458","C8A6E75811DA1F64E32EBDA5002DEF0EC205CB07DABEFB8C028CD99B85747B6A","pair-08-T0.json"
