Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Shape,Mean,Error,StdDev,Gen0,Allocated
ExpandPropertyFunction,Job-XOOAEV,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,00000000-0000-0000-0000-000000000000,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,Default,1,Default,Default,Default,Default,Default,Default,16,6,OneArgument,576.9 ns,12.31 ns,11.51 ns,0.0205,392 B
ExpandPropertyFunction,Job-XOOAEV,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,00000000-0000-0000-0000-000000000000,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,Default,1,Default,Default,Default,Default,Default,Default,16,6,TwoArguments,722.4 ns,20.86 ns,19.51 ns,0.0210,408 B
ExpandPropertyFunction,Job-XOOAEV,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,00000000-0000-0000-0000-000000000000,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,Default,1,Default,Default,Default,Default,Default,Default,16,6,FourArguments,"4,785.2 ns",71.88 ns,67.24 ns,0.1068,2216 B
ExpandPropertyFunction,Job-XOOAEV,False,Default,Default,Default,Default,Default,Default,11111111111111111111111111111111,Empty,RyuJit,Default,X64,00000000-0000-0000-0000-000000000000,.NET 11.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,15,Default,1,Default,Default,Default,Default,Default,Default,16,6,QuotedComma,"1,236.5 ns",37.85 ns,35.40 ns,0.0381,720 B
